,price,loc,size
2015-08-20 08:34:00,5475,sfc,1231.0
2015-08-20 08:33:00,2595,sfc,
2015-08-20 08:27:00,5250,sfc,1208.0
2015-08-20 08:25:00,5250,sfc,1383.0
2015-08-20 08:23:00,5700,sfc,1500.0
2015-08-20 08:23:00,6500,sfc,1855.0
2015-08-20 08:21:00,9000,sfc,
2015-08-20 08:21:00,8450,sfc,1785.0
2015-08-20 08:16:00,3595,sfc,
2015-08-20 08:16:00,2895,sfc,
2015-08-20 08:15:00,4995,sfc,
2015-08-20 08:14:00,6250,sfc,1670.0
2015-08-20 08:12:00,1000,sfc,
2015-08-20 08:11:00,3995,sfc,
2015-08-20 08:07:00,3300,sfc,
2015-08-20 08:07:00,6000,sfc,
2015-08-20 08:04:00,1700,sfc,675.0
2015-08-20 07:57:00,4100,sfc,
2015-08-20 07:53:00,5500,sfc,1500.0
2015-08-20 07:53:00,11950,sfc,1900.0
2015-08-20 07:52:00,5800,sfc,1200.0
2015-08-20 07:52:00,3900,sfc,
2015-08-20 07:51:00,22000,sfc,4000.0
2015-08-20 07:50:00,4150,sfc,1100.0
2015-08-20 07:47:00,11500,sfc,3600.0
2015-08-20 07:34:00,4750,sfc,
2015-08-20 07:32:00,6900,sfc,1750.0
2015-08-20 07:31:00,8200,sfc,2000.0
2015-08-20 07:31:00,8300,sfc,1800.0
2015-08-20 07:31:00,4300,sfc,900.0
2015-08-20 07:31:00,8300,sfc,1800.0
2015-08-20 07:31:00,11500,sfc,2800.0
2015-08-20 07:31:00,5900,sfc,1000.0
2015-08-20 07:28:00,3975,sfc,1200.0
2015-08-20 07:27:00,22000,sfc,3426.0
2015-08-20 07:20:00,2900,sfc,
2015-08-20 07:19:00,5700,sfc,1500.0
2015-08-20 07:10:00,2800,sfc,1000.0
2015-08-20 07:07:00,4200,sfc,
2015-08-20 06:44:00,11000,sfc,
2015-08-20 06:41:00,3000,sfc,
2015-08-20 06:39:00,3400,sfc,
2015-08-20 06:28:00,3495,sfc,760.0
2015-08-20 06:23:00,4850,sfc,1038.0
2015-08-20 06:13:00,5500,sfc,1450.0
2015-08-20 06:10:00,2000,sfc,450.0
2015-08-20 05:48:00,4400,sfc,
2015-08-20 05:21:00,5500,sfc,2700.0
2015-08-20 05:21:00,3995,sfc,754.0
2015-08-20 05:18:00,5400,sfc,
2015-08-20 05:12:00,3200,sfc,
2015-08-20 05:03:00,7500,sfc,1200.0
2015-08-20 03:42:00,4200,sfc,1600.0
2015-08-20 03:04:00,3000,sfc,
2015-08-20 02:51:00,6500,sfc,1600.0
2015-08-20 02:10:00,16800,sfc,2500.0
2015-08-20 02:09:00,4000,sfc,650.0
2015-08-20 02:09:00,4300,sfc,936.0
2015-08-20 01:23:00,3185,sfc,670.0
2015-08-20 01:16:00,3200,sfc,1100.0
2015-08-20 00:56:00,3395,sfc,
2015-08-20 00:45:00,3600,sfc,892.0
2015-08-20 00:34:00,4500,sfc,1250.0
2015-08-20 00:20:00,4600,sfc,
2015-08-20 00:19:00,4400,sfc,
2015-08-20 00:17:00,6000,sfc,1580.0
2015-08-20 00:04:00,4155,sfc,725.0
2015-08-20 00:01:00,2800,sfc,
2015-08-19 23:49:00,2195,sfc,
2015-08-19 23:38:00,4495,sfc,
2015-08-19 23:30:00,5500,sfc,1360.0
2015-08-19 23:24:00,4490,sfc,860.0
2015-08-19 23:21:00,4350,sfc,1100.0
2015-08-19 23:15:00,4765,sfc,860.0
2015-08-19 23:15:00,2800,sfc,555.0
2015-08-19 23:14:00,8600,sfc,
2015-08-19 23:03:00,4515,sfc,879.0
2015-08-19 22:49:00,2895,sfc,
2015-08-19 22:44:00,5800,sfc,1309.0
2015-08-19 22:41:00,6795,sfc,
2015-08-19 22:39:00,4300,sfc,1134.0
2015-08-19 22:38:00,10000,sfc,1997.0
